word,lemma,porter_stem
skirt,skirt,skirt
est,e,est
bombs,bomb,bomb
respected,respect,respect
imposed,impose,impos
limestone,limestone,limeston
deny,deny,deni
nominee,nominee,nomine
memphis,memphis,memphi
grabbing,grab,grab
disabled,disabled,disabl
amusement,amusement,amus
aa,aa,aa
frankfurt,frankfurt,frankfurt
corn,corn,corn
referendum,referendum,referendum
varies,varie,vari
slowed,slow,slow
disk,disk,disk
firms,firm,firm
unconscious,unconscious,unconsci
incredible,incredible,incred
clue,clue,clue
sue,sue,sue
twist,twist,twist
joins,join,join
idaho,idaho,idaho
chad,chad,chad
developers,developer,develop
computing,compute,comput
destroyer,destroyer,destroy
mortal,mortal,mortal
tucker,tucker,tucker
kingston,kingston,kingston
choices,choices,choic
yu,yu,yu
carson,carson,carson
os,os,os
whitney,whitney,whitney
geneva,geneva,geneva
pretend,pretend,pretend
dimension,dimension,dimens
staged,stage,stage
plateau,plateau,plateau
maya,maya,maya
freestyle,freestyle,freestyl
rovers,rover,rover
hiv,hiv,hiv
tristan,tristan,tristan
classroom,classroom,classroom
prospect,prospect,prospect
honestly,honestly,honestli
diploma,diploma,diploma
lied,lie,lie
thermal,thermal,thermal
auxiliary,auxiliary,auxiliari
feast,feast,feast
unlikely,unlikely,unlik
iata,iata,iata
morocco,morocco,morocco
pounding,pound,pound
treasury,treasury,treasuri
lithuania,lithuania,lithuania
considerably,considerably,consider
dish,dish,dish
geological,geological,geolog
matching,matching,match
stumbled,stumble,stumbl
destroying,destroy,destroy
marched,march,march
brien,brien,brien
advances,advances,advanc
cake,cake,cake
nicole,nicole,nicol
belle,belle,bell
settling,settle,settl
measuring,measuring,measur
directing,direct,direct
tuesday,tuesday,tuesday
bassist,bassist,bassist
capabilities,capability,capabl
stunned,stun,stun
fraud,fraud,fraud
torpedo,torpedo,torpedo
anton,anton,anton
wisdom,wisdom,wisdom
surveillance,surveillance,surveil
ruined,ruin,ruin
lawsuit,lawsuit,lawsuit
healthcare,healthcare,healthcar
theorem,theorem,theorem
halls,hall,hall
trend,trend,trend
aka,aka,aka
horizontal,horizontal,horizont
dozens,dozen,dozen
acquire,acquire,acquir
lasting,last,last
swim,swim,swim
hawk,hawk,hawk
gorgeous,gorgeous,gorgeou
fees,fee,fee
vicinity,vicinity,vicin
decrease,decrease,decreas
adoption,adoption,adopt
tactics,tactic,tactic
pakistani,pakistani,pakistani
draws,draw,draw
willie,willie,willi
burke,burke,burk
heath,heath,heath
algorithm,algorithm,algorithm
integral,integral,integr
powder,powder,powder
elliott,elliott,elliott
brigadier,brigadier,brigadi
jackie,jackie,jacki
tate,tate,tate
varieties,variety,varieti
darker,darker,darker
lately,lately,late
cigarette,cigarette,cigarett
specimens,specimens,specimen
adds,add,add
exploded,explode,explod
finalist,finalist,finalist
cia,cia,cia
murders,murder,murder
wilderness,wilderness,wilder
arguments,argument,argument
nicknamed,nickname,nicknam
acceptance,acceptance,accept
onwards,onwards,onward
manufacture,manufacture,manufactur
robertson,robertson,robertson
jets,jets,jet
tampa,tampa,tampa
enterprises,enterprises,enterpris
blog,blog,blog
loudly,loudly,loudli
composers,composer,compos
nominations,nomination,nomin
ai,ai,ai
malta,malta,malta
inquiry,inquiry,inquiri
automobile,automobile,automobil
hosting,host,host
viii,viii,viii
rays,ray,ray
tilted,tilt,tilt
grief,grief,grief
museums,museum,museum
strategies,strategy,strategi
furious,furious,furiou
euro,euro,euro
equality,equality,equal
cohen,cohen,cohen
poison,poison,poison
surrey,surrey,surrey
wireless,wireless,wireless
governed,govern,govern
ridiculous,ridiculous,ridicul
moses,moses,mose
vanished,vanish,vanish
barnes,barne,barn
attract,attract,attract
morrison,morrison,morrison
istanbul,istanbul,istanbul
absent,absent,absent
rotation,rotation,rotat
petition,petition,petit
janet,janet,janet
satisfaction,satisfaction,satisfact
custody,custody,custodi
deliberately,deliberately,deliber
observatory,observatory,observatori
comedian,comedian,comedian
surfaces,surface,surfac
pinyin,pinyin,pinyin
novelist,novelist,novelist
strictly,strictly,strictli
canterbury,canterbury,canterburi
oslo,oslo,oslo
monks,monk,monk
embrace,embrace,embrac
ibm,ibm,ibm
jealous,jealous,jealou
photograph,photograph,photograph
continent,continent,contin
dorothy,dorothy,dorothi
marina,marina,marina
doc,doc,doc
excess,excess,excess
holden,holden,holden
allegations,allegation,alleg
explaining,explain,explain
stack,stack,stack
avoiding,avoid,avoid
lance,lance,lanc
storyline,storyline,storylin
majesty,majesty,majesti
poorly,poorly,poorli
spike,spike,spike
dos,do,do
bradford,bradford,bradford
raven,raven,raven
travis,travis,travi
classics,classic,classic
proven,prove,proven
voltage,voltage,voltag
pillow,pillow,pillow
fists,fist,fist
butt,butt,butt
interpreted,interpret,interpret
gage,gage,gage
telegraph,telegraph,telegraph
lens,lens,len
promising,promise,promis
expelled,expel,expel
casual,casual,casual
collector,collector,collector
zones,zone,zone
silly,silly,silli
nintendo,nintendo,nintendo
downstairs,downstairs,downstair
chef,chef,chef
suspicious,suspicious,suspici
afl,afl,afl
flies,fly,fli
vacant,vacant,vacant
uganda,uganda,uganda
pregnancy,pregnancy,pregnanc
condemned,condemn,condemn
lutheran,lutheran,lutheran
estimates,estimate,estim
cheap,cheap,cheap
decree,decree,decre
saxon,saxon,saxon
proximity,proximity,proxim
stripped,strip,strip
idiot,idiot,idiot
deposits,deposit,deposit
contrary,contrary,contrari
presenter,presenter,present
magnus,magnu,magnu
glacier,glaci,glacier
i,I,i
m,m,m
offense,offense,offens
edwin,edwin,edwin
upright,upright,upright
bolt,bolt,bolt
toss,toss,toss
geographical,geographical,geograph
environments,environment,environ
delicate,delicate,delic
marking,mark,mark
abstract,abstract,abstract
xavier,xavi,xavier
nails,nail,nail
windsor,windsor,windsor
plantation,plantation,plantat
occurring,occur,occur
equity,equity,equiti
saskatchewan,saskatchewan,saskatchewan
fears,fear,fear
drifted,drift,drift
sequences,sequence,sequenc
vegetation,vegetation,veget
revolt,revolt,revolt
sooner,soon,sooner
fusion,fusion,fusion
opposing,oppose,oppos
nato,nato,nato
skating,skating,skate
secretly,secretly,secretli
ruin,ruin,ruin
lease,lease,leas
edit,edit,edit
flora,flora,flora
anxiety,anxiety,anxieti
ruby,ruby,rubi
tel,tel,tel
bout,bout,bout
taxi,taxi,taxi
emmy,emmy,emmi
frost,frost,frost
rainbow,rainbow,rainbow
compounds,compound,compound
foundations,foundation,foundat
rainfall,rainfall,rainfal
assassination,assassination,assassin
nightmare,nightmare,nightmar
dominican,dominican,dominican
achievements,achievements,achiev
deserve,deserve,deserv
orlando,orlando,orlando
intact,intact,intact
armenia,armenia,armenia
calgary,calgary,calgari
valentine,valentine,valentin
marion,marion,marion
proclaimed,proclaim,proclaim
theodore,theodore,theodor
bells,bell,bell
courtyard,courtyard,courtyard
thigh,thigh,thigh
gonzalez,gonzalez,gonzalez
console,console,consol
troop,troop,troop
minimal,minimal,minim
monte,monte,mont
everyday,everyday,everyday
supporter,supporter,support
terrorism,terrorism,terror
buck,buck,buck
openly,openly,openli
presbyterian,presbyterian,presbyterian
activists,activist,activist
carpet,carpet,carpet
rubbing,rub,rub
uprising,uprising,upris
cute,cute,cute
conceived,conceive,conceiv
legally,legally,legal
millennium,millennium,millennium
cello,cello,cello
velocity,velocity,veloc
ji,ji,ji
rescued,rescue,rescu
cardiff,cardiff,cardiff
rex,rex,rex
concentrate,concentrate,concentr
senators,senator,senat
beard,beard,beard
rendered,render,render
glowing,glow,glow
battalions,battalion,battalion
scouts,scout,scout
competitors,competitor,competitor
sculptor,sculptor,sculptor
catalogue,catalogue,catalogu
arctic,arctic,arctic
ion,ion,ion
raja,raja,raja
bicycle,bicycle,bicycl
wow,wow,wow
glancing,glance,glanc
lawn,lawn,lawn
gentleman,gentleman,gentleman
lighthouse,lighthouse,lighthous
publish,publish,publish
predicted,predict,predict
calculated,calculate,calcul
variants,variant,variant
strain,strain,strain
winston,winston,winston
deceased,deceased,deceas
touchdowns,touchdown,touchdown
brady,brady,bradi
caleb,caleb,caleb
sinking,sink,sink
echoed,echo,echo
crush,crush,crush
hon,hon,hon
blessed,bless,bless
protagonist,protagonist,protagonist
hayes,haye,hay
endangered,endanger,endang
magnitude,magnitude,magnitud
editors,editor,editor
estimate,estimate,estim
responsibilities,responsibility,respons
backup,backup,backup
laying,lay,lay
consumed,consume,consum
sealed,seal,seal
zurich,zurich,zurich
lovers,lover,lover
frustrated,frustrate,frustrat
ahmed,ahme,ahm
kicking,kicking,kick
mit,mit,mit
treasurer,treasurer,treasur
biblical,biblical,biblic
refuse,refuse,refus
terrified,terrify,terrifi
pump,pump,pump
agrees,agree,agre
genuine,genuine,genuin
imprisonment,imprisonment,imprison
refuses,refuse,refus
plymouth,plymouth,plymouth
lou,lou,lou
tara,tara,tara
trembling,tremble,trembl
antarctic,antarctic,antarct
ton,ton,ton
learns,learn,learn
crap,crap,crap
crucial,crucial,crucial
faction,faction,faction
atop,atop,atop
wrap,wrap,wrap
lancaster,lancaster,lancast
odds,odd,odd
hopkins,hopkins,hopkin
erik,erik,erik
lyon,lyon,lyon
bros,bro,bro
snap,snap,snap
locality,locality,local
tips,tip,tip
empress,empress,empress
crowned,crown,crown
cal,cal,cal
acclaimed,acclaim,acclaim
chuckled,chuckle,chuckl
clara,clara,clara
sends,send,send
mild,mild,mild
towel,towel,towel
wishing,wish,wish
assuming,assume,assum
interviewed,interview,interview
interactions,interaction,interact
eden,eden,eden
cups,cup,cup
helena,helena,helena
indie,indie,indi
beck,beck,beck
batteries,battery,batteri
filipino,filipino,filipino
wizard,wizard,wizard
parted,parted,part
traces,trace,trace
rows,row,row
idol,idol,idol
albany,albany,albani
delegates,delegate,deleg
discussions,discussion,discuss
notre,notre,notr
instructed,instruct,instruct
belgrade,belgrade,belgrad
highways,highway,highway
suggestion,suggestion,suggest
lauren,lauren,lauren
possess,possess,possess
orientation,orientation,orient
alexandria,alexandria,alexandria
abdul,abdul,abdul
beats,beat,beat
salary,salary,salari
reunion,reunion,reunion
ludwig,ludwig,ludwig
alright,alright,alright
wagner,wagner,wagner
intimate,intimate,intim
pockets,pocket,pocket
slovenia,slovenia,slovenia
hugged,hug,hug
brighton,brighton,brighton
merchants,merchant,merchant
cruel,cruel,cruel
stole,steal,stole
trek,trek,trek
slopes,slope,slope
repairs,repairs,repair
enrollment,enrollment,enrol
politically,politically,polit
underlying,underlie,underli
promotional,promotional,promot
counting,counting,count
boeing,boeing,boe
isabella,isabella,isabella
naming,name,name
keen,keen,keen
bacteria,bacteria,bacteria
listing,list,list
separately,separately,separ
belfast,belfast,belfast
ussr,ussr,ussr
lithuanian,lithuanian,lithuanian
anybody,anybody,anybodi
ribs,rib,rib
sphere,sphere,sphere
martinez,martinez,martinez
cock,cock,cock
embarrassed,embarrassed,embarrass
proposals,proposal,propos
fragments,fragment,fragment
nationals,national,nation
premises,premise,premis
fin,fin,fin
alpine,alpine,alpin
matched,match,match
freely,freely,freeli
bounded,bound,bound
jace,jace,jace
sleeve,sleeve,sleev
gaming,gaming,game
pier,pier,pier
populated,populate,popul
evident,evident,evid
frances,france,franc
flooded,flood,flood
frightened,frightened,frighten
pour,pour,pour
trainer,trainer,trainer
framed,frame,frame
visitor,visitor,visitor
challenging,challenge,challeng
pig,pig,pig
wickets,wicket,wicket
infected,infect,infect
email,email,email
arose,arise,aros
reward,reward,reward
ecuador,ecuador,ecuador
oblast,oblast,oblast
vale,vale,vale
ch,ch,ch
shuttle,shuttle,shuttl
bach,bach,bach
rankings,ranking,rank
forbidden,forbid,forbidden
cornwall,cornwall,cornwal
accordance,accordance,accord
salem,salem,salem
consumers,consumer,consum
bruno,bruno,bruno
fantastic,fantastic,fantast
toes,toe,toe
machinery,machinery,machineri
resolved,resolve,resolv
julius,julius,juliu
remembering,remember,rememb
propaganda,propaganda,propaganda
iceland,iceland,iceland
bombardment,bombardment,bombard
tide,tide,tide
contacts,contact,contact
wives,wife,wive
concerto,concerto,concerto
macdonald,macdonald,macdonald
albania,albania,albania
implement,implement,implement
daisy,daisy,daisi
tapped,tap,tap
sudan,sudan,sudan
helmet,helmet,helmet
angela,angela,angela
mistress,mistress,mistress
crop,crop,crop
sunk,sink,sunk
finest,fine,finest
hostile,hostile,hostil
boxer,boxer,boxer
fr,fr,fr
paths,path,path
adjusted,adjust,adjust
habit,habit,habit
ballot,ballot,ballot
supervision,supervision,supervis
soprano,soprano,soprano
bullets,bullet,bullet
wicked,wicke,wick
sunset,sunset,sunset
regiments,regiment,regiment
disappear,disappear,disappear
lamp,lamp,lamp
performs,perform,perform
app,app,app
rabbit,rabbit,rabbit
digging,dig,dig
incidents,incident,incid
entries,entrie,entri
dishes,dish,dish
introducing,introduce,introduc
freshman,freshman,freshman
slot,slot,slot
jill,jill,jill
tackles,tackle,tackl
baroque,baroque,baroqu
backs,back,back
lone,lone,lone
sponsor,sponsor,sponsor
destiny,destiny,destini
altogether,altogether,altogeth
convert,convert,convert
consensus,consensus,consensu
shapes,shape,shape
demonstration,demonstration,demonstr
basically,basically,basic
feminist,feminist,feminist
auction,auction,auction
artifacts,artifact,artifact
strongest,strong,strongest
twitter,twitter,twitter
halifax,halifax,halifax
allmusic,allmusic,allmus
mighty,mighty,mighti
smallest,small,smallest
precise,precise,precis
alexandra,alexandra,alexandra
viola,viola,viola
manuscripts,manuscript,manuscript
dancers,dancer,dancer
ari,ari,ari
managers,manager,manag
monuments,monument,monument
blades,blade,blade
barracks,barracks,barrack
springfield,springfield,springfield
maiden,maiden,maiden
consolidated,consolidate,consolid
electron,electron,electron
berry,berry,berri
airing,air,air
wheat,wheat,wheat
nobel,nobel,nobel
inclusion,inclusion,inclus
blair,blair,blair
payments,payment,payment
geography,geography,geographi
bee,bee,bee
cc,cc,cc
eleanor,eleanor,eleanor
react,react,react
afc,afc,afc
manitoba,manitoba,manitoba
su,su,su
lineup,lineup,lineup
fitness,fitness,fit
recreational,recreational,recreat
investments,investment,invest
airborne,airborne,airborn
disappointment,disappointment,disappoint
edmonton,edmonton,edmonton
viewing,view,view
renovation,renovation,renov
infant,infant,infant
bankruptcy,bankruptcy,bankruptci
roses,rose,rose
aftermath,aftermath,aftermath
pavilion,pavilion,pavilion
carpenter,carpenter,carpent
withdrawal,withdrawal,withdraw
ladder,ladder,ladder
discussing,discussing,discuss
popped,pop,pop
reliable,reliable,reliabl
agreements,agreement,agreement
rochester,rochester,rochest
curves,curve,curv
bombers,bomber,bomber
rao,rao,rao
reverend,reverend,reverend
decreased,decrease,decreas
choosing,choose,choos
stiff,stiff,stiff
consulting,consulting,consult
naples,naple,napl
crawford,crawford,crawford
tracy,tracy,traci
ka,ka,ka
ribbon,ribbon,ribbon
cops,cop,cop
crushed,crush,crush
deciding,decide,decid
unified,unified,unifi
teenager,teenager,teenag
accepting,accept,accept
flagship,flagship,flagship
explorer,explorer,explor
poles,pole,pole
sanchez,sanchez,sanchez
inspection,inspection,inspect
revived,revive,reviv
skilled,skilled,skill
induced,induce,induc
exchanged,exchange,exchang
flee,flee,flee
locals,local,local
tragedy,tragedy,tragedi
swallow,swallow,swallow
loading,loading,load
hanna,hanna,hanna
demonstrate,demonstrate,demonstr
salvador,salvador,salvador
flown,fly,flown
contestants,contestant,contest
civilization,civilization,civil
wanna,wanna,wanna
rhodes,rhodes,rhode
fletcher,fletcher,fletcher
hector,hector,hector
knocking,knock,knock
considers,consider,consid
nash,nash,nash
mechanisms,mechanism,mechan
sensed,sense,sens
mentally,mentally,mental
walt,walt,walt
unclear,unclear,unclear
renovated,renovate,renov
madame,madame,madam
crews,crew,crew
governmental,governmental,government
undertaken,undertake,undertaken
monkey,monkey,monkey
fatal,fatal,fatal
armored,armor,armor
copa,copa,copa
caves,cave,cave
governance,governance,govern
grasp,grasp,grasp
perception,perception,percept
certification,certification,certif
froze,freeze,froze
damp,damp,damp
tugged,tugged,tug
wyoming,wyoming,wyom
newman,newman,newman
nerves,nerve,nerv
curiosity,curiosity,curios
graph,graph,graph
withdraw,withdraw,withdraw
tunnels,tunnel,tunnel
dull,dull,dull
meredith,meredith,meredith
moss,moss,moss
exhibits,exhibit,exhibit
neighbors,neighbor,neighbor
communicate,communicate,commun
accuracy,accuracy,accuraci
explored,explore,explor
raiders,raider,raider
republicans,republicans,republican
secular,secular,secular
kat,kat,kat
superman,superman,superman
penny,penny,penni
criticised,criticise,criticis
freed,freed,freed
update,update,updat
conviction,conviction,convict
wade,wade,wade
ham,ham,ham
likewise,likewise,likewis
delegation,delegation,deleg
got,get,got
ta,ta,ta
doll,doll,doll
promises,promise,promis
technological,technological,technolog
myth,myth,myth
nationality,nationality,nation
resolve,resolve,resolv
convent,convent,convent
sharon,sharon,sharon
dig,dig,dig
sip,sip,sip
coordinator,coordinator,coordin
entrepreneur,entrepreneur,entrepreneur
fold,fold,fold
capability,capability,capabl
councillor,councillor,councillor
synonym,synonym,synonym
blown,blow,blown
swan,swan,swan
cursed,curse,curs
jonas,jonas,jona
haired,haire,hair
sofa,sofa,sofa
canvas,canvas,canva
keeper,keeper,keeper
rivalry,rivalry,rivalri
rapper,rapper,rapper
speedway,speedway,speedway
swords,sword,sword
postal,postal,postal
maxwell,maxwell,maxwel
estonia,estonia,estonia
potter,potter,potter
recurring,recur,recur
errors,error,error
cognitive,cognitive,cognit
claws,claws,claw
nadu,nadu,nadu
roberto,roberto,roberto
bce,bce,bce
wrestler,wrestler,wrestler
ellie,ellie,elli
infinite,infinite,infinit
ink,ink,ink
presumably,presumably,presum
finite,finite,finit
staircase,staircase,staircas
noel,noel,noel
patricia,patricia,patricia
nacional,nacional,nacion
chill,chill,chill
eternal,eternal,etern
tu,tu,tu
preventing,prevent,prevent
prussia,prussia,prussia
fossil,fossil,fossil
limbs,limb,limb
ernst,ernst,ernst
frog,frog,frog
perez,perez,perez
rene,rene,rene
pizza,pizza,pizza
prussian,prussian,prussian
molecules,molecule,molecul
regulatory,regulatory,regulatori
answering,answering,answer
opinions,opinion,opinion
sworn,swear,sworn
lengths,length,length
supposedly,supposedly,supposedli
hypothesis,hypothesis,hypothesi
upward,upward,upward
habitats,habitat,habitat
seating,seat,seat
ancestors,ancestor,ancestor
drank,drink,drank
yield,yield,yield
hd,hd,hd
synthesis,synthesis,synthesi
researcher,researcher,research
modest,modest,modest
mothers,mother,mother
peered,peer,peer
voluntary,voluntary,voluntari
homeland,homeland,homeland
acclaim,acclaim,acclaim
static,static,static
valve,valve,valv
luxembourg,luxembourg,luxembourg
alto,alto,alto
carroll,carroll,carrol
fe,fe,fe
receptor,receptor,receptor
norton,norton,norton
ambulance,ambulance,ambul
johnston,johnston,johnston
catholics,catholic,cathol
depicting,depict,depict
jointly,jointly,jointli
elephant,elephant,eleph
gloria,gloria,gloria
mentor,mentor,mentor
badge,badge,badg
ahmad,ahmad,ahmad
distinguish,distinguish,distinguish
remarked,remark,remark
councils,council,council
precisely,precisely,precis
allison,allison,allison
advancing,advance,advanc
detection,detection,detect
crowded,crowd,crowd
cooperative,cooperative,cooper
ankle,ankle,ankl
mercedes,mercedes,merced
dagger,dagger,dagger
surrendered,surrender,surrend
pollution,pollution,pollut
commit,commit,commit
subway,subway,subway
jeffrey,jeffrey,jeffrey
lesson,lesson,lesson
sculptures,sculpture,sculptur
provider,provider,provid
membrane,membrane,membran
timothy,timothy,timothi
rectangular,rectangular,rectangular
fiscal,fiscal,fiscal
heating,heating,heat
teammate,teammate,teammat
basket,basket,basket
particle,particle,particl
anonymous,anonymous,anonym
deployment,deployment,deploy
missiles,missile,missil
courthouse,courthouse,courthous
proportion,proportion,proport
shoe,shoe,shoe
sec,sec,sec
complaints,complaint,complaint
forbes,forbe,forb
blacks,black,black
abandon,abandon,abandon
remind,remind,remind
sizes,size,size
overwhelming,overwhelming,overwhelm
autobiography,autobiography,autobiographi
natalie,natalie,natali
risks,risk,risk
contestant,contestant,contest
countryside,countryside,countrysid
babies,baby,babi
scorer,scorer,scorer
invaded,invade,invad
enclosed,enclose,enclos
proceed,proceed,proceed
hurling,hurl,hurl
disorders,disorder,disord
reflecting,reflect,reflect
continuously,continuously,continu
cruiser,cruiser,cruiser
graduates,graduate,graduat
freeway,freeway,freeway
investigated,investigate,investig
ore,ore,ore
deserved,deserve,deserv
maid,maid,maid
blocking,block,block
phillip,phillip,phillip
jorge,jorge,jorg
shakes,shake,shake
dove,dive,dove
mann,mann,mann
variables,variable,variabl
lacked,lack,lack
burden,burden,burden
accompanying,accompany,accompani
que,que,que
consistently,consistently,consist
organizing,organize,organ
provisional,provisional,provision
complained,complain,complain
endless,endless,endless
tubes,tube,tube
juice,juice,juic
georges,george,georg
krishna,krishna,krishna
mick,mick,mick
labels,label,label
thriller,thrill,thriller
laps,lap,lap
arcade,arcade,arcad
sage,sage,sage
snail,snail,snail
shannon,shannon,shannon
fi,fi,fi
laurence,laurence,laurenc
seoul,seoul,seoul
vacation,vacation,vacat
presenting,present,present
hire,hire,hire
churchill,churchill,churchil
surprisingly,surprisingly,surprisingli
prohibited,prohibit,prohibit
savannah,savannah,savannah
technically,technically,technic
testimony,testimony,testimoni
suited,suit,suit
speeds,speed,speed
toys,toy,toy
romans,romans,roman
mlb,mlb,mlb
flowering,flower,flower
measurement,measurement,measur
talented,talente,talent
kay,kay,kay
settings,setting,set
charleston,charleston,charleston
expectations,expectation,expect
shattered,shatter,shatter
achieving,achieve,achiev
triumph,triumph,triumph
ceremonies,ceremony,ceremoni
portsmouth,portsmouth,portsmouth
lanes,lane,lane
mandatory,mandatory,mandatori
loser,loser,loser
stretching,stretching,stretch
cologne,cologne,cologn
realizes,realize,realiz
seventy,seventy,seventi
cornell,cornell,cornel
careers,career,career
webb,webb,webb
americas,america,america
budapest,budapest,budapest
ava,ava,ava
suspicion,suspicion,suspicion
yo,yo,yo
conrad,conrad,conrad
sterling,sterling,sterl
jessie,jessie,jessi
rector,rector,rector
transform,transform,transform
organize,organize,organ
loans,loan,loan
christine,christine,christin
volcanic,volcanic,volcan
warrant,warrant,warrant
slender,slend,slender
summers,summer,summer
subfamily,subfamily,subfamili
newer,newer,newer
danced,dance,danc
dynamics,dynamic,dynam
rhine,rhine,rhine
proceeds,proceed,proce
heinrich,heinrich,heinrich
gastropod,gastropod,gastropod
commands,command,command
sings,sing,sing
facilitate,facilitate,facilit
easter,easter,easter
ra,ra,ra
positioned,position,posit
responses,response,respons
expense,expense,expens
fruits,fruit,fruit
yanked,yank,yank
imported,import,import
velvet,velvet,velvet
vic,vic,vic
primitive,primitive,primit
tribune,tribune,tribun
baldwin,baldwin,baldwin
neighbourhood,neighbourhood,neighbourhood
donna,donna,donna
rip,rip,rip
hay,hay,hay
pr,pr,pr
espn,espn,espn
welcomed,welcome,welcom
qualifier,qualifi,qualifi
glare,glare,glare
highland,highland,highland
timing,timing,time
shells,shell,shell
eased,ease,eas
geometry,geometry,geometri
louder,louder,louder
exciting,exciting,excit
slovakia,slovakia,slovakia
savings,saving,save
prairie,prairie,prairi
marching,marching,march
rafael,rafael,rafael
tonnes,tonne,tonn
curtain,curtain,curtain
preceding,precede,preced
shy,shy,shi
heal,heal,heal
greene,greene,green
worthy,worthy,worthi
detachment,detachment,detach
bury,bury,buri
sherman,sherman,sherman
reinforced,reinforce,reinforc
seeks,seek,seek
bottles,bottle,bottl
contracted,contract,contract
duchess,duchess,duchess
outfit,outfit,outfit
walsh,walsh,walsh
mickey,mickey,mickey
geoffrey,geoffrey,geoffrey
archer,archer,archer
squeeze,squeeze,squeez
dawson,dawson,dawson
eliminate,eliminate,elimin
invention,invention,invent
neal,neal,neal
stance,stance,stanc
dealer,dealer,dealer
coral,coral,coral
maple,maple,mapl
retire,retire,retir
polo,polo,polo
simplified,simplify,simplifi
hid,hid,hid
watts,watt,watt
backwards,backwards,backward
jules,jule,jule
genesis,genesis,genesi
mt,mt,mt
frames,frame,frame
rebounds,rebound,rebound
burma,burma,burma
woodland,woodland,woodland
moist,moist,moist
santos,santo,santo
whispers,whisper,whisper
drained,drain,drain
subspecies,subspecie,subspeci
streaming,streaming,stream
ulster,ulster,ulster
burnt,burn,burnt
correspondence,correspondence,correspond
maternal,maternal,matern
gerard,gerard,gerard
denis,denis,deni
stealing,steal,steal
genius,genius,geniu
duchy,duchy,duchi
inaugurated,inaugurate,inaugur
momentum,momentum,momentum
suits,suit,suit
placement,placement,placement
sovereign,sovereign,sovereign
clause,clause,claus
thames,thame,thame
confederation,confederation,confeder
reservation,reservation,reserv
sketch,sketch,sketch
yankees,yankees,yanke
lets,let,let
rotten,rotten,rotten
charm,charm,charm
hal,hal,hal
verses,verses,vers
ultra,ultra,ultra
commercially,commercially,commerci
dot,dot,dot
salon,salon,salon
citation,citation,citat
adopt,adopt,adopt
winnipeg,winnipeg,winnipeg
mist,mist,mist
allocated,allocate,alloc
cairo,cairo,cairo
jenkins,jenkins,jenkin
interference,interference,interfer
objectives,objective,object
portfolio,portfolio,portfolio
armoured,armoured,armour
sectors,sector,sector
initiatives,initiative,initi
integrity,integrity,integr
exercises,exercise,exercis
robe,robe,robe
tap,tap,tap
ab,ab,ab
gazed,gaze,gaze
distracted,distracted,distract
rulers,ruler,ruler
favorable,favorable,favor
jerome,jerome,jerom
tended,tend,tend
cart,cart,cart
factories,factory,factori
diplomat,diplomat,diplomat
valued,value,valu
gravel,gravel,gravel
charitable,charitable,charit
calvin,calvin,calvin
exploring,explore,explor
chang,chang,chang
shepherd,shepherd,shepherd
terrace,terrace,terrac
pdf,pdf,pdf
pupil,pupil,pupil
reflects,reflect,reflect
ups,up,up
governors,governor,governor
shelf,shelf,shelf
depths,depth,depth
trailed,trail,trail
crest,crest,crest
tackle,tackle,tackl
hatred,hatred,hatr
clare,clare,clare
makers,maker,maker
ethiopia,ethiopia,ethiopia
longtime,longtime,longtim
detected,detect,detect
embedded,embed,embed
lacking,lack,lack
slapped,slap,slap
rely,rely,reli
thomson,thomson,thomson
anticipation,anticipation,anticip
iso,iso,iso
morton,morton,morton
successive,successive,success
agnes,agnes,agn
screenwriter,screenwriter,screenwrit
straightened,straighten,straighten
philippe,philippe,philipp
playwright,playwright,playwright
haunted,haunt,haunt
licence,licence,licenc
iris,iris,iri
intentions,intention,intent
sutton,sutton,sutton
logical,logical,logic
correctly,correctly,correctli
branded,brand,brand
licked,lick,lick
tipped,tip,tip
silva,silva,silva
ricky,ricky,ricki
narrator,narrator,narrat
requests,request,request
greeted,greet,greet
supernatural,supernatural,supernatur
cow,cow,cow
lung,lung,lung
refusing,refuse,refus
employer,employer,employ
strait,strait,strait
gaelic,gaelic,gaelic
liner,liner,liner
zoe,zoe,zoe
sabha,sabha,sabha
driveway,driveway,driveway
harvest,harvest,harvest
prints,print,print
bates,bate,bate
reluctantly,reluctantly,reluctantli
threshold,threshold,threshold
algebra,algebra,algebra
ira,ira,ira
wherever,wherever,wherev
coupled,couple,coupl
assumption,assumption,assumpt
picks,pick,pick
designers,designer,design
raids,raid,raid
gentlemen,gentleman,gentlemen
roller,roller,roller
blowing,blow,blow
leipzig,leipzig,leipzig
locks,lock,lock
screw,screw,screw
dressing,dress,dress
strand,strand,strand
scar,scar,scar
dwarf,dwarf,dwarf
depicts,depict,depict
nods,nod,nod
differ,differ,differ
boris,boris,bori
yuan,yuan,yuan
flip,flip,flip
mob,mob,mob
invested,invest,invest
questioning,question,question
applying,apply,appli
shout,shout,shout
gameplay,gameplay,gameplay
blamed,blame,blame
illustrations,illustration,illustr
bothered,bother,bother
weakness,weakness,weak
rehabilitation,rehabilitation,rehabilit
envelope,envelope,envelop
rumors,rumor,rumor
miners,miner,miner
leicester,leicester,leicest
subtle,subtle,subtl
kerry,kerry,kerri
ferguson,ferguson,ferguson
premiership,premiership,premiership
ne,ne,ne
bengali,bengali,bengali
prof,prof,prof
catches,catch,catch
